row ID;row m/z;row retention time;Formula M+H;Formula M+Na;39-1.mzXML Peak area;39-2.mzXML Peak area;39-3.mzXML Peak area;39-4.mzXML Peak area;39-5.mzXML Peak area;39-6.mzXML Peak area
149;473.2510478;18.27;C28H32N4O3 - C22H36N2O9;C26H34N4O3 - C20H38N2O9;29290;7616;5454;4269;2330;1103
150;487.2660739;22.71;C35H34O2 - C29H34N4O3 - C28H38O7 - C23H38N2O9;C27H36N4O3 - C26H40O7 - C21H40N2O9;64892;9131;10087;10371;5223;3280
151;481.3654963;22.69;;;60723;14605;11707;7436;4240;1818
152;429.2632523;21.23;C27H32N4O - C26H36O5 - C21H36N2O7;C25H34N4O - C24H38O5;66160;17011;13057;5511;2818;888
153;760.3539937;16.84;C45H49N3O8 - C39H53NO14 - C34H53N3O16 - C32H57NO19 - C27H57N3O21;C43H51N3O8 - C37H55NO14 - C32H55N3O16 - C30H59NO19;32070;40003;37181;41327;43274;38212
154;318.3000946;30.07;C18H39NO3;;18245;17298;10289;11522;13272;18229
155;311.1649653;15.96;C20H22O3;C18H24O3;37830;12056;6543;4068;1901;162
156;313.1795197;10.73;C20H24O3 - C15H24N2O5;C18H26O3;23230;6079;2962;848;611;887
157;217.1040382;30.02;;;12295;8445;2832;3187;6926;7545
158;425.3753815;26.25;C30H48O - C25H48N2O3;C28H50O - C23H50N2O3;18597;2283;0;0;92;0
159;282.2789714;20.97;C18H35NO;;38788;45773;35500;27028;52629;48364
160;589.3125611;19.39;C37H40N4O3 - C36H44O7 - C31H44N2O9 - C26H44N4O11 - C24H48N2O14;C35H42N4O3 - C34H46O7 - C29H46N2O9;47619;8788;3380;1090;1747;239
161;554.332133;21.3;C29H47NO9 - C24H47N3O11;C33H45N3O3 - C27H49NO9;37679;8536;6804;4199;3594;1079
162;371.3149312;25.43;C23H38N4 - C22H42O4;C21H40N4;27095;3677;51125;3974;6836;2194
163;429.3719991;30.5;C29H48O2 - C24H48N2O4;C27H50O2;14196;7822;5002;4655;3405;2609
