row ID;row m/z;row retention time;row identity (all IDs);LN-380.mzXML Peak area;
261;457.2792053222656;10.25095;C24H40O8 - C19H40N2O10;149039.524984682;
262;628.3988037109375;14.457733333333334;C40H53NO5;111914.10034368695;
263;518.3828735351562;13.104816666666666;;94990.58982080196;
264;495.220703125;9.955;C25H34O10 - C20H34N2O12;149453.3293379513;
265;669.35498046875;5.894583333333333;C40H48N2O7 - C33H52N2O12 - C27H56O18;116606.49994560255;
266;328.192138671875;6.5921666666666665;C20H25NO3;140675.47086572164;
267;456.4413146972656;11.455916666666667;C28H57NO3;203312.007337876;
268;893.5562744140625;19.575166666666668;;235897.2600353212;
269;1211.8226318359375;16.023766666666667;;80730.60104146981;
270;428.4115295410156;10.673733333333333;C26H53NO3;142580.0732594003;
271;246.86293029785156;21.668;;331061.9083984397;
272;554.553466796875;13.400766666666668;;178004.22722692747;
273;604.4004516601562;16.00261666666667;C38H53NO5 - C31H57NO10;111297.14221374373;
274;280.2649230957031;12.259233333333333;C18H33NO;110960.93371984837;
275;492.3555908203125;8.454116666666668;C25H49NO8;134319.62231787218;
276;949.4329223632812;15.305016666666667;;80579.4286640303;
277;352.15283203125;6.169383333333333;C21H21NO4;153552.38993225092;
278;730.5498657226562;14.267483333333333;;116571.95968786764;
279;299.1283264160156;8.031333333333333;C18H18O4;123732.59893676754;
280;766.54736328125;14.670800000000002;;114521.85310324047;
281;413.3777160644531;17.376666666666665;C29H48O;176823.0727478048;
282;223.0975341796875;7.6914;;118458.50642425544;
283;622.418701171875;9.27855;C31H59NO11;112811.09783325059;
284;289.1445007324219;7.226333333333333;C17H20O4;124418.849875183;
285;630.4148559570312;16.0449;C40H55NO5;120793.5273874778;
286;756.5608520507812;15.22045;;128243.71617843711;
287;439.35833740234375;12.470633333333334;C30H46O2;202408.09846777303;
288;427.35833740234375;12.999116666666668;C29H46O2;116020.99421490547;
289;453.345703125;4.330233333333334;;202231.08520605517;
290;684.3912353515625;14.839916666666666;C42H53NO7 - C35H57NO12;88980.82176164388;
291;298.348876953125;9.363116666666667;;169948.29333508192;
292;464.3377380371094;4.60505;;129976.38857011354;
293;429.1174621582031;6.972666666666667;C22H20O9 - C17H20N2O11 - C10H24N2O16;105802.68169352747;
294;745.2817993164062;9.426516666666666;;97587.2642684336;
295;501.3572082519531;12.766566666666668;C26H48N2O7;93150.9696249996;
296;590.3828735351562;15.6221;C37H51NO5;110088.85881607943;
297;566.4280395507812;3.9497166666666668;C29H59NO9;120996.23178652953;
298;499.33990478515625;13.654433333333333;C26H46N2O7;127157.11147576933;
299;752.571044921875;15.748933333333333;;186076.738952149;
300;461.364013671875;12.851133333333333;C29H48O4;92241.97369726637;
301;766.579833984375;16.129466666666666;;300479.3856457542;
302;413.26580810546875;14.713083333333334;C21H36N2O6;88088.5691679372;
303;603.1995849609375;9.87045;C32H30N2O10 - C25H34N2O15 - C19H38O21;178311.20898413064;
304;605.2366333007812;13.696716666666667;C34H36O10 - C29H36N2O12 - C22H40N2O17;105981.57337805282;
305;591.42822265625;12.660883333333334;C41H54N2O - C35H58O7;138642.21005529913;
306;326.2701416015625;7.5857;C19H35NO3;91050.18136109879;
307;301.2171936035156;3.5480666666666663;;111366.68105291708;
308;693.4385986328125;13.443033333333334;C48H56N2O2;120211.74409130776;
309;407.1176452636719;8.7712;C16H22O12 - C11H22N2O14;116936.57661399814;
310;299.1283264160156;8.20045;C18H18O4;101370.21242968786;
311;347.11407470703125;7.649116666666667;C18H18O7;124640.28266192632;
312;348.13751220703125;6.507616666666666;C25H17NO;86673.52947151223;
313;373.1854248046875;11.7096;C18H28O8 - C13H28N2O10;97823.15931729221;
314;322.27532958984375;10.483483333333334;C20H35NO2;100939.26266246106;
315;332.31640625;8.263866666666667;C19H41NO3;124838.75469897546;
316;358.1968688964844;11.413633333333333;;119149.00187587077;
317;782.5427856445312;13.104816666666666;;76686.14437384138;
318;515.322265625;10.779433333333333;C33H42N2O3 - C22H46N2O11;103388.25247277725;
319;259.1343994140625;7.94675;C16H18O3;118533.40499781801;
320;288.2902526855469;7.28975;;93466.27558645644;
321;655.3408813476562;8.7712;C39H46N2O7 - C32H50N2O12 - C26H54O18;107662.27626779159;
322;814.58056640625;3.90745;;167781.58284667993;
323;485.362060546875;13.252783333333333;C31H48O4 - C26H48N2O6;117670.23652038594;
324;977.5435180664062;11.878716666666666;;124806.24970584048;
325;575.435302734375;4.2245333333333335;;90898.05531387358;
326;472.3974304199219;8.7712;C27H53NO5;141199.56480676302;
327;654.4019775390625;11.265649999999999;C38H55NO8;109607.03221102792;
328;279.2325134277344;12.42835;C18H30O2;101099.14569647313;
329;616.3983764648438;15.685516666666667;C39H53NO5;115002.5398602666;
330;512.5059814453125;12.999116666666668;;168337.65627642823;
331;549.1912231445312;9.87045;C29H28N2O9 - C27H32O12 - C22H32N2O14;128874.43387231427;
332;362.15447998046875;7.564566666666667;;92725.03801049807;
333;349.26641845703125;3.59035;;86266.1471206056;
334;1443.5489501953125;12.068966666666666;;75575.8016233224;
335;588.3680419921875;14.903333333333334;C37H49NO5;103081.16073709076;
336;305.138916015625;8.919183333333333;C17H20O5;106092.20769317594;
337;641.4281616210938;14.034933333333333;C41H56N2O4 - C35H60O10 - C30H60N2O12;69113.0753533944;
338;316.322265625;8.052466666666668;C19H41NO2;98162.56568957545;
339;959.4576416015625;15.918066666666666;;61263.07273882958;
340;766.54736328125;14.52115;;92689.84903393526;
341;655.3408813476562;5.577483333333333;C39H46N2O7 - C32H50N2O12 - C26H54O18;78380.83554702754;
342;742.5490112304688;14.077216666666667;;83634.86346313474;
343;540.53857421875;13.633283333333333;;89127.0290811761;
344;1237.84033203125;16.0449;;69529.32395827981;
345;317.1761169433594;8.115883333333333;C19H24O4;96331.78235473674;
346;483.34796142578125;13.443033333333334;;100658.11075854512;
347;259.09686279296875;7.374316666666667;C15H14O4;93375.93269488473;
348;350.17095947265625;9.215133333333334;;96370.65376709106;
349;539.3212280273438;10.293233333333335;C24H46N2O11;93678.29014877223;
350;462.3220520019531;12.660883333333334;C27H43NO5;188875.52971264723;
351;486.4176330566406;9.193999999999999;C28H55NO5;84005.1388320327;
352;827.445068359375;11.878716666666666;;69023.16162309979;
353;643.470703125;18.22233333333333;;113489.10088256872;
354;372.3135681152344;10.737150000000002;C21H41NO4;114537.85082542479;
355;215.17576599121094;3.5057833333333335;C11H22N2O2;117624.99332580551;
356;339.2524719238281;9.130583333333334;C20H34O4 - C15H34N2O6;104579.64104388336;
